date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:02	6592/6592	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2004:56:02%20GMT	https://alvarogallardo.000webhostapp.com/index.html	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/index.html	(from )
23:56:02	5550/5550	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Sep%202021%2004:56:03%20GMT	https://alvarogallardo.000webhostapp.com/robots.txt		(from )
23:56:02	13177/13177	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2004:56:03%20GMT	https://alvarogallardo.000webhostapp.com/Redes%20Digitales.html	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/Redes%20Digitales.html	(from https://alvarogallardo.000webhostapp.com/index.html)
23:56:02	6559/6559	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2004:56:04%20GMT	https://alvarogallardo.000webhostapp.com/Proyecto%20Final.html	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/Proyecto%20Final.html	(from https://alvarogallardo.000webhostapp.com/index.html)
23:56:03	6600/6600	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2004:56:04%20GMT	https://alvarogallardo.000webhostapp.com/Laboratorio.html	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/Laboratorio.html	(from https://alvarogallardo.000webhostapp.com/index.html)
23:56:03	6588/6588	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2004:56:04%20GMT	https://alvarogallardo.000webhostapp.com/Contacto.html	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/Contacto.html	(from https://alvarogallardo.000webhostapp.com/index.html)
23:56:04	2046/2046	---M--	200	added ('OK')	image/png	etag:%226130b117-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	C:/Users/SPARTAN%20PC/Desktop/prun/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from https://alvarogallardo.000webhostapp.com/index.html)
23:56:05	731/731	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Jun%202021%2023:32:39%20GMT	https://alvarogallardo.000webhostapp.com/estilos.css	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/estilos.css	(from https://alvarogallardo.000webhostapp.com/Redes%20Digitales.html)
23:56:05	20954/20954	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20May%202021%2000:05:42%20GMT	https://alvarogallardo.000webhostapp.com/imagenes/redes.jpg	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/imagenes/redes.jpg	(from https://alvarogallardo.000webhostapp.com/Laboratorio.html)
23:56:22	669658/669658	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20May%202021%2000:05:53%20GMT	https://alvarogallardo.000webhostapp.com/imagenes/ibero.jpg	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/imagenes/ibero.jpg	(from https://alvarogallardo.000webhostapp.com/index.html)
23:56:28	1280788/1280788	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20May%202021%2001:32:21%20GMT	https://alvarogallardo.000webhostapp.com/imagenes/pres.jpg	C:/Users/SPARTAN%20PC/Desktop/prun/alvarogallardo.000webhostapp.com/imagenes/pres.jpg	(from https://alvarogallardo.000webhostapp.com/Contacto.html)
